Phase 1: Generating opponent pool...
  Generated 200 train, 30 test opponents
Phase 2: Pre-training MBOM + env_model...
  Pretrain 20/200, tbuf=20000, score=-16.30
  Pretrain 40/200, tbuf=40000, score=-0.50
  Pretrain 60/200, tbuf=50000, score=-18.35
  Pretrain 80/200, tbuf=50000, score=-1.80
  Pretrain 100/200, tbuf=50000, score=20.70
  Pretrain 120/200, tbuf=50000, score=9.95
  Pretrain 140/200, tbuf=50000, score=16.55
  Pretrain 160/200, tbuf=50000, score=5.20
  Pretrain 180/200, tbuf=50000, score=27.90
  Pretrain 200/200, tbuf=50000, score=-47.45
  Env model loss: 0.056885
Phase 3: Testing...
  --- fixed ---
    opp 0: 9.705
    opp 1: 0.195
    opp 2: -14.840
    opp 3: 9.185
    opp 4: 8.200
    opp 5: 12.800
    opp 6: -46.345
    opp 7: -49.540
    opp 8: -54.430
    opp 9: 12.265
    opp 10: 5.355
    opp 11: -3.225
    opp 12: 30.030
    opp 13: 31.975
    opp 14: 43.455
    opp 15: -2.990
    opp 16: 5.590
    opp 17: 12.295
    opp 18: 11.275
    opp 19: 0.305
    opp 20: 3.555
    opp 21: -5.265
    opp 22: 1.000
    opp 23: -10.645
    opp 24: 18.615
    opp 25: 23.765
    opp 26: 30.080
    opp 27: -51.825
    opp 28: -56.040
    opp 29: -59.275
  fixed mean: -2.826
  --- naive ---
    opp 0: -29.700
    opp 1: -27.880
    opp 2: -32.735
    opp 3: -12.885
    opp 4: 6.325
    opp 5: -2.915
    opp 6: -55.595
    opp 7: -57.440
    opp 8: -65.035
